vehicle_id,lane,frame,timestamp_sec
7619,1,7670,255.67
7625,1,7681,256.03
7629,1,7682,256.07
7638,2,7693,256.43
7664,1,7706,256.87
7667,2,7709,256.97
7668,2,7712,257.07
7672,2,7717,257.23
7679,1,7721,257.37
7687,1,7729,257.63
7693,1,7742,258.07
7696,1,7746,258.20
7697,2,7748,258.27
7700,1,7752,258.40
7706,1,7761,258.70
7707,1,7764,258.80
7715,2,7770,259.00
7718,1,7774,259.13
7693,2,7791,259.70
7731,1,7792,259.73
7742,1,7826,260.87
7731,2,7837,261.23
7750,1,7841,261.37
7756,1,7843,261.43
7762,1,7853,261.77
7767,2,7857,261.90
7769,2,7859,261.97
7776,1,7876,262.53
7782,3,7888,262.93
7788,1,7896,263.20
7762,2,7900,263.33
7804,1,7905,263.50
7809,1,7907,263.57
7822,1,7915,263.83
7851,1,7936,264.53
7862,1,7952,265.07
7870,1,7956,265.20
7871,1,7956,265.20
7822,2,7959,265.30
7877,2,7961,265.37
7907,2,7993,266.43
7915,1,8002,266.73
7920,1,8004,266.80
7930,1,8007,266.90
7946,1,8016,267.20
7959,2,8023,267.43
7962,1,8025,267.50
7963,1,8025,267.50
7977,1,8044,268.13
7870,2,8053,268.43
7991,2,8064,268.80
8017,1,8075,269.17
8033,1,8086,269.53
8041,1,8096,269.87
8058,1,8111,270.37
8068,1,8122,270.73
8071,1,8123,270.77
8068,2,8146,271.53
8098,1,8150,271.67
8103,2,8154,271.80
8104,1,8155,271.83
8106,1,8159,271.97
8110,2,8163,272.10
8126,1,8170,272.33
8128,1,8171,272.37
8142,2,8184,272.80
8150,1,8192,273.07
8156,1,8195,273.17
8157,1,8196,273.20
8167,2,8202,273.40
